SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Pred_L,Pred_a,Pred_b,Target_L,Target_a,Target_b,Delta_E
0.0,41.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,200.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,34.563305,7.0395584,-26.445007,34.5,7.2,-26.46,0.17312941525976852
0.0,410.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.952305,3.492241,2.4739048,31.96,3.32,2.49,0.1731623487320914
0.0,19.0,0.0,285.0,560.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.71593,-16.060705,-1.9416016,34.55,-16.11,-1.93,0.17348675202718025
0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,447.0,350.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,38.18237,9.383146,1.423192,38.31,9.49,1.37,0.17474759091325556
8.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,364.0,0.0,520.0,0.0,0.0,83.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.529762,43.233547,-1.22966,41.59,43.09,-1.15,0.1748716875078857
0.0,14.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,10.0,0.0,0.0,0.0,57.0,677.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64.51597,7.9392757,25.134083,64.43,8.09,25.11,0.17518086530842547
0.0,187.0,0.0,0.0,0.0,0.0,220.0,418.0,0.0,0.0,0.0,0.0,0.0,20.0,165.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,37.611977,-1.1605164,10.28399,37.74,-1.06,10.35,0.17564412968454593
0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.50512,37.638954,15.982976,37.56,37.48,16.04,0.17756704536085463
0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,584.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,57.205936,45.437305,20.054659,57.24,45.6,20.12,0.17860376204177175
0.0,700.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,83.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.407719,-0.06206,-1.4138037,29.57,-0.02,-1.48,0.1802393627112141
0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,45.0,0.0,900.0,0.0,180.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,44.500275,45.539074,20.109997,44.52,45.67,19.98,0.18555292534764023
0.0,500.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,380.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.988144,-0.4802412,-2.673733,34.15,-0.51,-2.76,0.18580896627804963
0.0,135.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,520.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,46.6621,2.4927845,5.4864125,46.78,2.64,5.49,0.18864058886992555
0.0,0.0,0.0,0.0,58.0,0.0,35.0,72.0,0.0,0.0,0.0,0.0,0.0,140.0,750.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,55.849873,7.8656597,11.493293,55.99,7.74,11.52,0.19010346923961746
0.0,22.0,0.0,0.0,0.0,0.0,0.0,901.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,41.93521,23.23218,22.908394,42.12,23.26,22.87,0.19077465292978482
0.0,0.0,0.0,0.0,6.0,0.0,570.0,0.0,0.0,43.0,0.0,0.0,392.0,0.0,75.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,45.928917,41.294106,26.338676,46.06,41.42,26.28,0.19098459273780585
0.0,0.0,0.0,0.0,4.0,0.0,210.0,310.0,390.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,63.071793,32.19467,47.140503,63.22,32.3,47.2,0.191309694954903
0.0,10.0,0.0,0.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,83.0,0.0,0.0,705.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,67.32608,18.308065,25.688387,67.31,18.46,25.57,0.19328258380077595
